TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.000000,          0.00,01/01/2024,     25.71,  0.0000000E+00,  0.0000000E+00
  45292.000100,          8.64,01/01/2024,     26.71,  0.2247838E-03,  0.0000000E+00
  45292.000230,         19.86,01/01/2024,     26.71,  0.2919741E-03,  0.0000000E+00
  45292.000399,         34.48,01/01/2024,     26.71,  0.3801372E-03,  0.0000000E+00
  45292.000619,         53.44,01/01/2024,     26.71,  0.4933283E-03,  0.0000000E+00
  45292.000904,         78.07,01/01/2024,     26.71,  0.6405685E-03,  0.0000000E+00
  45292.001274,        110.09,01/01/2024,     26.71,  0.8326158E-03,  0.0000000E+00
  45292.001755,        151.63,01/01/2024,     26.71,  0.1080213E-02,  0.0000000E+00
  45292.002379,        205.52,01/01/2024,     26.71,  0.1400555E-02,  0.0000000E+00
  45292.003197,        276.23,01/01/2024,     26.72,  0.1837639E-02,  0.0000000E+00
  45292.004266,        368.56,01/01/2024,     26.72,  0.2398133E-02,  0.0000000E+00
  45292.005651,        488.24,01/01/2024,     26.72,  0.3106989E-02,  0.0000000E+00
  45292.007452,        643.83,01/01/2024,     26.73,  0.4036217E-02,  0.0000000E+00
  45292.009733,        840.91,01/01/2024,     26.73,  0.5107820E-02,  0.0000000E+00
  45292.012636,       1091.74,01/01/2024,     26.74,  0.6493242E-02,  0.0000000E+00
  45292.016783,       1450.06,01/01/2024,     26.75,  0.9262286E-02,  0.0000000E+00
  45292.021760,       1880.05,01/01/2024,     26.76,  0.1109109E-01,  0.0000000E+00
  45292.028395,       2453.36,01/01/2024,     26.78,  0.1475038E-01,  0.0000000E+00
  45292.035031,       3026.68,01/01/2024,     26.79,  0.1470022E-01,  0.0000000E+00
  45292.041667,       3600.00,01/01/2024,     26.81,  0.1465021E-01,  0.0000000E+00
  45292.052083,       4500.00,01/01/2024,     26.83,  0.2291983E-01,  0.0000000E+00
  45292.067708,       5850.00,01/01/2024,     26.86,  0.3419644E-01,  0.0000000E+00
  45292.083333,       7200.00,01/01/2024,     26.90,  0.3392280E-01,  0.0000000E+00
  45292.103333,       8928.00,01/01/2024,     26.94,  0.4307412E-01,  0.0000000E+00
  45292.114167,       9864.00,01/01/2024,     26.97,  0.2309323E-01,  0.0000000E+00
  45292.125000,      10800.00,01/01/2024,     26.99,  0.2296548E-01,  0.0000000E+00
  45292.145000,      12528.00,01/01/2024,     27.03,  0.4216337E-01,  0.0000000E+00
  45292.155833,      13464.00,01/01/2024,     27.06,  0.2260547E-01,  0.0000000E+00
  45292.166667,      14400.00,01/01/2024,     27.08,  0.2248066E-01,  0.0000000E+00
  45292.186667,      16128.00,01/01/2024,     27.12,  0.4127366E-01,  0.0000000E+00
  45292.197500,      17064.00,01/01/2024,     27.14,  0.2212897E-01,  0.0000000E+00
  45292.208333,      18000.00,01/01/2024,     27.17,  0.2200707E-01,  0.0000000E+00
  45292.228333,      19728.00,01/01/2024,     27.21,  0.4040466E-01,  0.0000000E+00
  45292.239167,      20664.00,01/01/2024,     27.23,  0.2166350E-01,  0.0000000E+00
