TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.000000,          0.00,01/01/2024,     25.71,  0.0000000E+00,  0.0000000E+00
  45292.000100,          8.64,01/01/2024,     26.71,  0.2247853E-03,  0.1556007E-03
  45292.000230,         19.86,01/01/2024,     26.71,  0.2919813E-03,  0.2021295E-03
  45292.000399,         34.48,01/01/2024,     26.71,  0.3801584E-03,  0.2631671E-03
  45292.000619,         53.44,01/01/2024,     26.71,  0.4933755E-03,  0.3415355E-03
  45292.000904,         78.07,01/01/2024,     26.71,  0.6406648E-03,  0.4434824E-03
  45292.001274,        110.09,01/01/2024,     26.71,  0.8327969E-03,  0.5764608E-03
  45292.001755,        151.63,01/01/2024,     26.71,  0.1080546E-02,  0.7479187E-03
  45292.002379,        205.52,01/01/2024,     26.71,  0.1401150E-02,  0.9697750E-03
  45292.003197,        276.23,01/01/2024,     26.71,  0.1838694E-02,  0.1272520E-02
  45292.004266,        368.56,01/01/2024,     26.71,  0.2399991E-02,  0.1660822E-02
  45292.005651,        488.24,01/01/2024,     26.71,  0.3110198E-02,  0.2152061E-02
  45292.007452,        643.83,01/01/2024,     26.71,  0.4041737E-02,  0.2796262E-02
  45292.009733,        840.91,01/01/2024,     26.72,  0.5117044E-02,  0.3539716E-02
  45292.012636,       1091.74,01/01/2024,     26.72,  0.6508559E-02,  0.4501617E-02
  45292.016783,       1450.06,01/01/2024,     26.72,  0.9290677E-02,  0.6424206E-02
  45292.021760,       1880.05,01/01/2024,     26.72,  0.1113630E-01,  0.7699832E-02
  45292.028395,       2453.36,01/01/2024,     26.73,  0.1482844E-01,  0.1025142E-01
  45292.035031,       3026.68,01/01/2024,     26.73,  0.1480194E-01,  0.1023727E-01
  45292.041667,       3600.00,01/01/2024,     26.74,  0.1477553E-01,  0.1022427E-01
  45292.052083,       4500.00,01/01/2024,     26.74,  0.2315344E-01,  0.1602270E-01
