TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.000000,          0.00,01/01/2024,     25.71,  0.0000000E+00,  0.0000000E+00
  45292.000100,          8.64,01/01/2024,     26.71,  0.2247853E-03,  0.0000000E+00
  45292.000230,         19.86,01/01/2024,     26.71,  0.2919813E-03,  0.0000000E+00
  45292.000399,         34.48,01/01/2024,     26.71,  0.3801584E-03,  0.0000000E+00
  45292.000619,         53.44,01/01/2024,     26.71,  0.4933755E-03,  0.0000000E+00
  45292.000904,         78.07,01/01/2024,     26.71,  0.6406648E-03,  0.0000000E+00
  45292.001274,        110.09,01/01/2024,     26.71,  0.8327969E-03,  0.0000000E+00
  45292.001755,        151.63,01/01/2024,     26.71,  0.1080546E-02,  0.0000000E+00
  45292.002379,        205.52,01/01/2024,     26.71,  0.1401150E-02,  0.0000000E+00
  45292.003197,        276.23,01/01/2024,     26.72,  0.1838694E-02,  0.0000000E+00
  45292.004266,        368.56,01/01/2024,     26.72,  0.2399991E-02,  0.0000000E+00
  45292.005651,        488.24,01/01/2024,     26.72,  0.3110198E-02,  0.0000000E+00
  45292.007452,        643.83,01/01/2024,     26.73,  0.4041737E-02,  0.0000000E+00
  45292.009733,        840.91,01/01/2024,     26.73,  0.5117045E-02,  0.0000000E+00
  45292.012636,       1091.74,01/01/2024,     26.74,  0.6508559E-02,  0.0000000E+00
  45292.016783,       1450.06,01/01/2024,     26.75,  0.9290677E-02,  0.0000000E+00
  45292.021760,       1880.05,01/01/2024,     26.76,  0.1113630E-01,  0.0000000E+00
  45292.028395,       2453.36,01/01/2024,     26.78,  0.1482844E-01,  0.0000000E+00
  45292.035031,       3026.68,01/01/2024,     26.79,  0.1480194E-01,  0.0000000E+00
  45292.041667,       3600.00,01/01/2024,     26.81,  0.1477553E-01,  0.0000000E+00
  45292.052083,       4500.00,01/01/2024,     26.83,  0.2315344E-01,  0.0000000E+00
  45292.067708,       5850.00,01/01/2024,     26.86,  0.3463327E-01,  0.0000000E+00
  45292.083333,       7200.00,01/01/2024,     26.90,  0.3448872E-01,  0.0000000E+00
  45292.103333,       8928.00,01/01/2024,     26.95,  0.4396235E-01,  0.0000000E+00
  45292.114167,       9864.00,01/01/2024,     26.97,  0.2368702E-01,  0.0000000E+00
  45292.125000,      10800.00,01/01/2024,     26.99,  0.2361951E-01,  0.0000000E+00
  45292.145000,      12528.00,01/01/2024,     27.04,  0.4348163E-01,  0.0000000E+00
  45292.155833,      13464.00,01/01/2024,     27.06,  0.2342962E-01,  0.0000000E+00
  45292.166667,      14400.00,01/01/2024,     27.09,  0.2336382E-01,  0.0000000E+00
  45292.186667,      16128.00,01/01/2024,     27.13,  0.4301243E-01,  0.0000000E+00
  45292.197500,      17064.00,01/01/2024,     27.15,  0.2317842E-01,  0.0000000E+00
  45292.208333,      18000.00,01/01/2024,     27.18,  0.2311414E-01,  0.0000000E+00
  45292.228333,      19728.00,01/01/2024,     27.22,  0.4255445E-01,  0.0000000E+00
  45292.239167,      20664.00,01/01/2024,     27.24,  0.2293319E-01,  0.0000000E+00
  45292.250000,      21600.00,01/01/2024,     27.27,  0.2287041E-01,  0.0000000E+00
  45292.270000,      23328.00,01/01/2024,     27.31,  0.4210728E-01,  0.0000000E+00
  45292.280833,      24264.00,01/01/2024,     27.33,  0.2269374E-01,  0.0000000E+00
  45292.291667,      25200.00,01/01/2024,     27.36,  0.2263249E-01,  0.0000000E+00
  45292.311667,      26928.00,01/01/2024,     27.40,  0.4167074E-01,  0.0000000E+00
  45292.322500,      27864.00,01/01/2024,     27.42,  0.2246001E-01,  0.0000000E+00
  45292.333333,      28800.00,01/01/2024,     27.45,  0.2240028E-01,  0.0000000E+00
  45292.353333,      30528.00,01/01/2024,     27.49,  0.4124474E-01,  0.0000000E+00
  45292.364167,      31464.00,01/01/2024,     27.51,  0.2223188E-01,  0.0000000E+00
  45292.375000,      32400.00,01/01/2024,     27.53,  0.2217356E-01,  0.0000000E+00
  45292.395000,      34128.00,01/01/2024,     27.58,  0.4082864E-01,  0.0000000E+00
  45292.405833,      35064.00,01/01/2024,     27.60,  0.2200916E-01,  0.0000000E+00
  45292.416667,      36000.00,01/01/2024,     27.62,  0.2195224E-01,  0.0000000E+00
  45292.436667,      37728.00,01/01/2024,     27.66,  0.4042260E-01,  0.0000000E+00
  45292.447500,      38664.00,01/01/2024,     27.68,  0.2179177E-01,  0.0000000E+00
  45292.458333,      39600.00,01/01/2024,     27.71,  0.2173613E-01,  0.0000000E+00
  45292.478333,      41328.00,01/01/2024,     27.75,  0.4002623E-01,  0.0000000E+00
  45292.489167,      42264.00,01/01/2024,     27.77,  0.2157946E-01,  0.0000000E+00
  45292.500000,      43200.00,01/01/2024,     27.79,  0.2152526E-01,  0.0000000E+00
  45292.520000,      44928.00,01/01/2024,     27.83,  0.3963936E-01,  0.0000000E+00
  45292.530833,      45864.00,01/01/2024,     27.85,  0.2137230E-01,  0.0000000E+00
  45292.541667,      46800.00,01/01/2024,     27.88,  0.2131933E-01,  0.0000000E+00
  45292.561667,      48528.00,01/01/2024,     27.92,  0.3926154E-01,  0.0000000E+00
  45292.572500,      49464.00,01/01/2024,     27.94,  0.2117010E-01,  0.0000000E+00
