TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.000000,          0.00,01/01/2024,     25.71,  0.0000000E+00,  0.0000000E+00
  45292.000100,          8.64,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.000230,         19.86,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.000399,         34.48,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.000619,         53.44,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.000904,         78.07,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.001274,        110.09,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.001755,        151.63,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.002379,        205.52,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.003197,        276.23,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.004266,        368.56,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.005651,        488.24,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.007452,        643.83,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.009733,        840.91,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.012636,       1091.74,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.016783,       1450.06,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.021760,       1880.05,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.028395,       2453.36,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.035031,       3026.68,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.041667,       3600.00,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.052083,       4500.00,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.067708,       5850.00,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.083333,       7200.00,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.103333,       8928.00,01/01/2024,     26.71,  0.0000000E+00,  0.0000000E+00
  45292.114167,       9864.00,01/01/2024,     26.70,  0.0000000E+00,  0.0000000E+00
