TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.000000,          0.00,01/01/2024,     25.71,  0.0000000E+00,  0.0000000E+00
  45292.000100,          8.64,01/01/2024,     26.71,  0.2247867E-03,  0.1530827E-03
  45292.000230,         19.86,01/01/2024,     26.71,  0.2919849E-03,  0.1988564E-03
  45292.000399,         34.48,01/01/2024,     26.71,  0.3801700E-03,  0.2589191E-03
  45292.000619,         53.44,01/01/2024,     26.71,  0.4934010E-03,  0.3360455E-03
  45292.000904,         78.07,01/01/2024,     26.71,  0.6407144E-03,  0.4363919E-03
  45292.001274,        110.09,01/01/2024,     26.71,  0.8328941E-03,  0.5673080E-03
  45292.001755,        151.63,01/01/2024,     26.71,  0.1080725E-02,  0.7361518E-03
  45292.002379,        205.52,01/01/2024,     26.71,  0.1401468E-02,  0.9546939E-03
  45292.003197,        276.23,01/01/2024,     26.71,  0.1839257E-02,  0.1253036E-02
  45292.004266,        368.56,01/01/2024,     26.71,  0.2400974E-02,  0.1635909E-02
  45292.005651,        488.24,01/01/2024,     26.71,  0.3111908E-02,  0.2120630E-02
  45292.007452,        643.83,01/01/2024,     26.71,  0.4044688E-02,  0.2756822E-02
  45292.009733,        840.91,01/01/2024,     26.72,  0.5121964E-02,  0.3491974E-02
  45292.012636,       1091.74,01/01/2024,     26.72,  0.6516736E-02,  0.4444330E-02
  45292.016783,       1450.06,01/01/2024,     26.72,  0.9305812E-02,  0.6349078E-02
  45292.021760,       1880.05,01/01/2024,     26.72,  0.1116041E-01,  0.7618879E-02
  45292.028395,       2453.36,01/01/2024,     26.73,  0.1487007E-01,  0.1015854E-01
  45292.035031,       3026.68,01/01/2024,     26.73,  0.1485619E-01,  0.1015853E-01
  45292.041667,       3600.00,01/01/2024,     26.74,  0.1484233E-01,  0.1015853E-01
  45292.052083,       4500.00,01/01/2024,     26.75,  0.2327793E-01,  0.1594700E-01
  45292.067708,       5850.00,01/01/2024,     26.76,  0.3486604E-01,  0.2392061E-01
  45292.083333,       7200.00,01/01/2024,     26.77,  0.3479023E-01,  0.2392055E-01
  45292.103333,       8928.00,01/01/2024,     26.78,  0.4443537E-01,  0.3061832E-01
  45292.114167,       9864.00,01/01/2024,     26.79,  0.2400307E-01,  0.1658477E-01
  45292.125000,      10800.00,01/01/2024,     26.79,  0.2396770E-01,  0.1658477E-01
  45292.145000,      12528.00,01/01/2024,     26.81,  0.4418316E-01,  0.3061820E-01
  45292.155833,      13464.00,01/01/2024,     26.81,  0.2386808E-01,  0.1658474E-01
  45292.166667,      14400.00,01/01/2024,     26.82,  0.2383352E-01,  0.1658474E-01
  45292.186667,      16128.00,01/01/2024,     26.83,  0.4393692E-01,  0.3061813E-01
  45292.197500,      17064.00,01/01/2024,     26.84,  0.2373624E-01,  0.1658472E-01
  45292.208333,      18000.00,01/01/2024,     26.85,  0.2370253E-01,  0.1658472E-01
  45292.228333,      19728.00,01/01/2024,     26.86,  0.4369666E-01,  0.3061808E-01
  45292.239167,      20664.00,01/01/2024,     26.87,  0.2360760E-01,  0.1658471E-01
  45292.250000,      21600.00,01/01/2024,     26.87,  0.2357466E-01,  0.1658471E-01
  45292.270000,      23328.00,01/01/2024,     26.89,  0.4346209E-01,  0.3061805E-01
  45292.280833,      24264.00,01/01/2024,     26.89,  0.2348197E-01,  0.1658470E-01
  45292.291667,      25200.00,01/01/2024,     26.90,  0.2344985E-01,  0.1658470E-01
  45292.311667,      26928.00,01/01/2024,     26.91,  0.4323305E-01,  0.3061802E-01
  45292.322500,      27864.00,01/01/2024,     26.92,  0.2335935E-01,  0.1658469E-01
  45292.333333,      28800.00,01/01/2024,     26.92,  0.2332805E-01,  0.1658469E-01
  45292.353333,      30528.00,01/01/2024,     26.94,  0.4300963E-01,  0.3061800E-01
  45292.364167,      31464.00,01/01/2024,     26.94,  0.2323969E-01,  0.1658469E-01
  45292.375000,      32400.00,01/01/2024,     26.95,  0.2320909E-01,  0.1658469E-01
  45292.395000,      34128.00,01/01/2024,     26.96,  0.4279137E-01,  0.3061798E-01
  45292.405833,      35064.00,01/01/2024,     26.97,  0.2312286E-01,  0.1658468E-01
  45292.416667,      36000.00,01/01/2024,     26.97,  0.2309305E-01,  0.1658468E-01
  45292.436667,      37728.00,01/01/2024,     26.98,  0.4257839E-01,  0.3061797E-01
  45292.447500,      38664.00,01/01/2024,     26.99,  0.2300888E-01,  0.1658468E-01
  45292.458333,      39600.00,01/01/2024,     27.00,  0.2297971E-01,  0.1658468E-01
  45292.478333,      41328.00,01/01/2024,     27.01,  0.4237052E-01,  0.3061797E-01
  45292.489167,      42264.00,01/01/2024,     27.01,  0.2289755E-01,  0.1658468E-01
  45292.500000,      43200.00,01/01/2024,     27.02,  0.2286906E-01,  0.1658467E-01
  45292.520000,      44928.00,01/01/2024,     27.03,  0.4216762E-01,  0.3061796E-01
  45292.530833,      45864.00,01/01/2024,     27.04,  0.2278886E-01,  0.1658467E-01
  45292.541667,      46800.00,01/01/2024,     27.04,  0.2276109E-01,  0.1658467E-01
