TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.000000,          0.00,01/01/2024,     25.71,  0.0000000E+00,  0.0000000E+00
  45292.000100,          8.64,01/01/2024,     26.71,  0.2247867E-03,  0.0000000E+00
  45292.000230,         19.86,01/01/2024,     26.71,  0.2919849E-03,  0.0000000E+00
  45292.000399,         34.48,01/01/2024,     26.71,  0.3801700E-03,  0.0000000E+00
  45292.000619,         53.44,01/01/2024,     26.71,  0.4934010E-03,  0.0000000E+00
  45292.000904,         78.07,01/01/2024,     26.71,  0.6407144E-03,  0.0000000E+00
  45292.001274,        110.09,01/01/2024,     26.71,  0.8328941E-03,  0.0000000E+00
  45292.001755,        151.63,01/01/2024,     26.71,  0.1080725E-02,  0.0000000E+00
  45292.002379,        205.52,01/01/2024,     26.71,  0.1401468E-02,  0.0000000E+00
  45292.003197,        276.23,01/01/2024,     26.72,  0.1839257E-02,  0.0000000E+00
  45292.004266,        368.56,01/01/2024,     26.72,  0.2400974E-02,  0.0000000E+00
  45292.005651,        488.24,01/01/2024,     26.72,  0.3111908E-02,  0.0000000E+00
  45292.007452,        643.83,01/01/2024,     26.73,  0.4044688E-02,  0.0000000E+00
  45292.009733,        840.91,01/01/2024,     26.73,  0.5121964E-02,  0.0000000E+00
  45292.012636,       1091.74,01/01/2024,     26.74,  0.6516736E-02,  0.0000000E+00
  45292.016783,       1450.06,01/01/2024,     26.75,  0.9305812E-02,  0.0000000E+00
  45292.021760,       1880.05,01/01/2024,     26.76,  0.1116041E-01,  0.0000000E+00
  45292.028395,       2453.36,01/01/2024,     26.78,  0.1487007E-01,  0.0000000E+00
  45292.035031,       3026.68,01/01/2024,     26.79,  0.1485619E-01,  0.0000000E+00
  45292.041667,       3600.00,01/01/2024,     26.81,  0.1484233E-01,  0.0000000E+00
  45292.052083,       4500.00,01/01/2024,     26.83,  0.2327793E-01,  0.0000000E+00
  45292.067708,       5850.00,01/01/2024,     26.87,  0.3486604E-01,  0.0000000E+00
  45292.083333,       7200.00,01/01/2024,     26.90,  0.3479023E-01,  0.0000000E+00
  45292.103333,       8928.00,01/01/2024,     26.95,  0.4443537E-01,  0.0000000E+00
  45292.114167,       9864.00,01/01/2024,     26.97,  0.2400307E-01,  0.0000000E+00
  45292.125000,      10800.00,01/01/2024,     27.00,  0.2396770E-01,  0.0000000E+00
  45292.145000,      12528.00,01/01/2024,     27.04,  0.4418316E-01,  0.0000000E+00
  45292.155833,      13464.00,01/01/2024,     27.07,  0.2386808E-01,  0.0000000E+00
  45292.166667,      14400.00,01/01/2024,     27.09,  0.2383352E-01,  0.0000000E+00
  45292.186667,      16128.00,01/01/2024,     27.14,  0.4393692E-01,  0.0000000E+00
  45292.197500,      17064.00,01/01/2024,     27.16,  0.2373624E-01,  0.0000000E+00
  45292.208333,      18000.00,01/01/2024,     27.18,  0.2370253E-01,  0.0000000E+00
  45292.228333,      19728.00,01/01/2024,     27.23,  0.4369666E-01,  0.0000000E+00
  45292.239167,      20664.00,01/01/2024,     27.25,  0.2360760E-01,  0.0000000E+00
  45292.250000,      21600.00,01/01/2024,     27.28,  0.2357466E-01,  0.0000000E+00
  45292.270000,      23328.00,01/01/2024,     27.32,  0.4346209E-01,  0.0000000E+00
  45292.280833,      24264.00,01/01/2024,     27.35,  0.2348197E-01,  0.0000000E+00
  45292.291667,      25200.00,01/01/2024,     27.37,  0.2344985E-01,  0.0000000E+00
  45292.311667,      26928.00,01/01/2024,     27.41,  0.4323305E-01,  0.0000000E+00
  45292.322500,      27864.00,01/01/2024,     27.44,  0.2335935E-01,  0.0000000E+00
  45292.333333,      28800.00,01/01/2024,     27.46,  0.2332805E-01,  0.0000000E+00
  45292.353333,      30528.00,01/01/2024,     27.51,  0.4300963E-01,  0.0000000E+00
