               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  45292.0000  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.0417  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.0833  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.1250  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.1667  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.2083  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.2500  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.2917  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.3333  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.3750  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.4167  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.4583  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.5000  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.5417  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.5833  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.6250  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.6667  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.7083  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.7500  01/01/2024        9.7695        9.7637        0.0000        0.0000        0.0000        0.0000
  45292.7917  01/01/2024       37.5750       37.5503        0.0000        0.0000        0.0000        0.0000
  45292.8333  01/01/2024       37.0585       37.0342        0.0000        0.0000        0.0000        0.0000
  45292.8750  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.9167  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45292.9583  01/01/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.0000  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.0417  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.0833  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.1250  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.1667  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.2083  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.2500  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.2917  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.3333  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.3750  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.4167  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.4583  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.5000  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.5417  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.5833  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.6250  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.6667  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.7083  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.7500  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.7917  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.8333  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.8750  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.9167  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45293.9583  01/02/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.0000  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.0417  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.0833  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.1250  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.1667  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.2083  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.2500  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.2917  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.3333  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.3750  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.4167  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.4583  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.5000  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.5417  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.5833  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.6250  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.6667  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.7083  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.7500  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.7917  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.8333  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.8750  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.9167  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45294.9583  01/03/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.0000  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.0417  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.0833  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.1250  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.1667  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.2083  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.2500  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.2917  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.3333  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.3750  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.4167  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.4583  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.5000  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45295.5417  01/04/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
