 NODE_NUM,TIME,DATE,NODE_AREA,ThetaNew,X,Y,NO3_CONC, N2O_CONC,C_CONC
   1 ,          0.00 ,01/01/2024 ,      0.19 ,      0.09 ,      0.00 ,     81.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   2 ,          0.00 ,01/01/2024 ,      0.45 ,      0.09 ,      0.75 ,     81.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   3 ,          0.00 ,01/01/2024 ,      0.63 ,      0.09 ,      1.80 ,     81.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   4 ,          0.00 ,01/01/2024 ,      0.80 ,      0.09 ,      3.27 ,     81.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   5 ,          0.00 ,01/01/2024 ,      0.43 ,      0.09 ,      5.00 ,     81.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   6 ,          0.00 ,01/01/2024 ,      0.38 ,      0.09 ,      0.00 ,     80.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   7 ,          0.00 ,01/01/2024 ,      0.90 ,      0.09 ,      0.75 ,     80.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   8 ,          0.00 ,01/01/2024 ,      1.26 ,      0.09 ,      1.80 ,     80.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
   9 ,          0.00 ,01/01/2024 ,      1.60 ,      0.09 ,      3.27 ,     80.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  10 ,          0.00 ,01/01/2024 ,      0.87 ,      0.09 ,      5.00 ,     80.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  11 ,          0.00 ,01/01/2024 ,      0.38 ,      0.09 ,      0.00 ,     79.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  12 ,          0.00 ,01/01/2024 ,      0.90 ,      0.09 ,      0.75 ,     79.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  13 ,          0.00 ,01/01/2024 ,      1.26 ,      0.09 ,      1.80 ,     79.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  14 ,          0.00 ,01/01/2024 ,      1.60 ,      0.09 ,      3.27 ,     79.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  15 ,          0.00 ,01/01/2024 ,      0.87 ,      0.09 ,      5.00 ,     79.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  16 ,          0.00 ,01/01/2024 ,      0.38 ,      0.09 ,      0.00 ,     78.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  17 ,          0.00 ,01/01/2024 ,      0.90 ,      0.09 ,      0.75 ,     78.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  18 ,          0.00 ,01/01/2024 ,      1.26 ,      0.09 ,      1.80 ,     78.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  19 ,          0.00 ,01/01/2024 ,      1.60 ,      0.09 ,      3.27 ,     78.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  20 ,          0.00 ,01/01/2024 ,      0.87 ,      0.09 ,      5.00 ,     78.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  21 ,          0.00 ,01/01/2024 ,      0.47 ,      0.09 ,      0.00 ,     77.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  22 ,          0.00 ,01/01/2024 ,      1.12 ,      0.09 ,      0.75 ,     77.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  23 ,          0.00 ,01/01/2024 ,      1.57 ,      0.09 ,      1.80 ,     77.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
  24 ,          0.00 ,01/01/2024 ,      2.00 ,      0.09 ,      3.27 ,     77.00 ,  0.3589882E+03 ,  0.0000000E+00 ,  0.0000000E+00
